NAMESPACE              NAME                                                 TYPE           CLUSTER-IP       EXTERNAL-IP                                                   PORT(S)                        AGE    SELECTOR
ai-automation          n8n                                                  ClusterIP      10.99.164.141    <none>                                                        80/TCP                         36h    app=n8n
ai-interfaces          openwebui                                            ClusterIP      10.98.135.241    <none>                                                        80/TCP                         36h    app=openwebui
ai-system              langgraph                                            ClusterIP      10.106.39.193    <none>                                                        80/TCP                         24h    app=langgraph
ai-system              mcp-hub                                              ClusterIP      10.107.45.60     <none>                                                        8000/TCP                       27h    app=mcp-hub
ai-system              mcp-kubernetes                                       ClusterIP      10.109.208.184   <none>                                                        8000/TCP                       27h    app=mcp-kubernetes
ai-system              ollama                                               ClusterIP      10.99.158.71     <none>                                                        11434/TCP                      36h    app=ollama
ai-system              ollama-agents                                        ClusterIP      10.100.195.233   <none>                                                        11434/TCP                      31h    app=ollama-agents
ai-system              redis                                                ClusterIP      10.102.183.164   <none>                                                        6379/TCP                       23h    app=redis
argocd                 argocd-applicationset-controller                     ClusterIP      10.104.143.36    <none>                                                        7000/TCP,8080/TCP              75d    app.kubernetes.io/name=argocd-applicationset-controller
argocd                 argocd-dex-server                                    ClusterIP      10.96.224.229    <none>                                                        5556/TCP,5557/TCP,5558/TCP     75d    app.kubernetes.io/name=argocd-dex-server
argocd                 argocd-metrics                                       ClusterIP      10.102.123.157   <none>                                                        8082/TCP                       75d    app.kubernetes.io/name=argocd-application-controller
argocd                 argocd-notifications-controller-metrics              ClusterIP      10.97.183.95     <none>                                                        9001/TCP                       75d    app.kubernetes.io/name=argocd-notifications-controller
argocd                 argocd-redis                                         ClusterIP      10.105.249.51    <none>                                                        6379/TCP                       75d    app.kubernetes.io/name=argocd-redis
argocd                 argocd-repo-server                                   ClusterIP      10.105.73.241    <none>                                                        8081/TCP,8084/TCP              75d    app.kubernetes.io/name=argocd-repo-server
argocd                 argocd-server                                        ClusterIP      10.101.23.106    <none>                                                        80/TCP,443/TCP                 75d    app.kubernetes.io/name=argocd-server
argocd                 argocd-server-metrics                                ClusterIP      10.107.235.96    <none>                                                        8083/TCP                       75d    app.kubernetes.io/name=argocd-server
cert-manager           cert-manager                                         ClusterIP      10.96.57.74      <none>                                                        9402/TCP                       76d    app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
cert-manager           cert-manager-cainjector                              ClusterIP      10.98.181.197    <none>                                                        9402/TCP                       76d    app.kubernetes.io/component=cainjector,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cainjector
cert-manager           cert-manager-webhook                                 ClusterIP      10.105.19.222    <none>                                                        443/TCP,9402/TCP               76d    app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
cnpg-system            cnpg-webhook-service                                 ClusterIP      10.104.99.93     <none>                                                        443/TCP                        76d    app.kubernetes.io/name=cloudnative-pg
default                argocd-server-external                               ExternalName   <none>           argocd-server.argocd.svc.cluster.local                        80/TCP                         76d    <none>
default                balanceamento                                        ClusterIP      10.106.45.78     <none>                                                        80/TCP                         76d    app=balanceamento
default                dashboard-proxy                                      ExternalName   <none>           kubernetes-dashboard.kubernetes-dashboard.svc.cluster.local   443/TCP                        76d    <none>
default                kubelet                                              ClusterIP      None             <none>                                                        10250/TCP,10255/TCP,4194/TCP   42d    <none>
default                kubernetes                                           ClusterIP      10.96.0.1        <none>                                                        443/TCP                        77d    <none>
default                postgres-ha-r                                        ClusterIP      10.100.165.125   <none>                                                        5432/TCP                       76d    cnpg.io/cluster=postgres-ha,cnpg.io/podRole=instance
default                postgres-ha-ro                                       ClusterIP      10.107.186.173   <none>                                                        5432/TCP                       76d    cnpg.io/cluster=postgres-ha,role=replica
